ULAN_ID,Name,Social_Club
500447764,"Brookfield, William",Union League
500447367,"Burrage, Albert C.",Union League
500446556,"Butler, Theron R.",Union League
500435474,"Carstairs, Charles Stewart",Union League
500447358,"Carstairs, John Haseltine",Union League
none,"Clark, William (Newark)",Union League
500315918,"Clarke, Thomas B.",Union League
500446630,"Closson, James T.",Union League
500450037,"Clyde, William P.",Union League
none,"Cochran, Thomas",Union League
500443262,"Coffin, Charles Albert",Union League
500443312,"Connor, Washington Everett",Union League
none,"Cook, Henry H.",Union League
500447868,"Crocker, Charles",Union League
500448027,"Curtis, George N.",Union League
500445510,"Curtis, William John",Union League
500446683,"Davenport, Ira",Union League
500443803,"Davis, Theodore M.",Union League
500447692,"Dick, Harris Brisbane",Union League
500447731,"Dun, Robert Graham",Union League
500443239,"Ellsworth, James W.",Union League
500447606,"Fahnestock, Harris Charles",Union League
500444622,"Field, Marshall",Union League
500447591,"Fiske, Josiah M.",Union League
500259690,"Flagler, Henry Morrison",Union League
none,"Fletcher, Isaac D.",Union League
500448040,"Foos, Lamar",Union League
500274405,"Frick, Henry Clay (NY)",Union League
none,"Fuller, William H.",Union League
500448359,"Gould, Frank Jay",Union League
500447590,"Graham, Malcolm",Union League
500446977,"Harbeck, Charles T.",Union League
500448293,"Harding, J. Horace",Union League
500447663,"Harper, Fletcher, Jr.",Union League
500447944,"Harper, Joseph Abner",Union League
500448059,"Hartley, Marcellus",Union League
500449909,"Hill, James N.",Union League
500446709,"Hine, Francis L.",Union League
500447057,"Hoagland, Joseph Christoffel",Union League
500443514,"Holmes, John Grier",Union League
500443282,"Horton, Henry Lawrence",Union League
500447892,"Hotchkiss, Horace L.",Union League
500446919,"Hoyt, Charles Albert",Union League
none,"Humphreys, Dr. Alexander C.",Union League
500435855,"Huntington, Collis P.",Union League
500435856,"Huntington, Henry Edwards",Union League
500447671,"Hyde, Clarence M.",Union League
500448113,"Hyde, Henry Baldwin",Union League
500443701,"Inglis, James Smith",Union League
500448271,"Ives, Brayton C.",Union League
500447391,"Jackson, Edwin E.",Union League
500448357,"Jennings, Frederick Beach",Union League
none,"King, David H., Jr.",Union League
500443646,"Kirby, Thomas E.",Union League
500320993,"Lambert, Catholina",Union League
500447713,"Lawrence, Cyrus I.",Union League
500447981,"Layton, Frederick",Union League
500447271,"Leighton, George E.",Union League
500447001,"Mather, Samuel",Union League
500449846,"McGarrah, G. W.",Union League
500356367,"Mellon, Andrew W.",Union League
500446675,"Milbank, Jeremiah",Union League
500448314,"Milliken, Seth Mellen",Union League
500447907,"Mills, Darius Ogden",Union League
500445235,"Moore, William Henry",Union League
500322851,"Morgan, J. Pierpont",Union League
500447038,"Oliver, George Tener",Union League
500443254,"Oliver, Henry W.",Union League
500448358,"Peavey, Frank Hutchinson",Union League
500443893,"Penfold, Edmund",Union League
500448433,"Peters, Samuel T.",Union League
500447938,"Raynor, James A.",Union League
500447957,"Riker, John Lawrence",Union League
500447989,"Roberts, Marshall O.",Union League
500447943,"Rockefeller, William Avery Jr.",Union League
500447566,"Roebling, Ferdinand W.",Union League
500444931,"Sabin, Charles H.",Union League
500446561,"Salter, Thomas P.",Union League
500443232,"Schwab, Charles M.",Union League
500447386,"Shepherd, James G.",Union League
500447561,"Sloane, William Douglas",Union League
500447573,"Smith, Charles Stewart",Union League
500448458,"Smith, Theodore E.",Union League
500326383,"Stanford, Leland",Union League
500448424,"Stewart, Lispenard",Union League
500445305,"Stillman, James",Union League
500447003,"Tenney, Charles Henry",Union League
500447019,"Terry, John T.",Union League
500443546,"Thomas, Seth Edward",Union League
500447668,"Thorne, Samuel P.",Union League
500443864,"Tousey, Sinclair",Union League
500443322,"Tuckerman, Lucius",Union League
500448211,"Valentine, Lawson",Union League
500448430,"Valentine, P.A.",Union League
500447578,"Vanderbilt, Cornelius II",Union League
500448108,"Ward, Leslie Dodd",Union League
500444040,"Warren, John Hobart",Union League
500443260,"Willets, Howard",Union League
500448065,"Woolworth, Frank Winfield",Union League
500443189,"Gunsaulus, Dr. Frank W.",Union League
