source_label,target_label,weight,type,relationship_type,source,target
"Holmes, John Grier","Adams, Edward D.",1,undirected,social club,86,36
"Horton, Henry Lawrence","Adams, Edward D.",1,undirected,social club,87,36
"Hotchkiss, Horace L.","Adams, Edward D.",1,undirected,social club,88,36
"Hoyt, Charles Albert","Adams, Edward D.",1,undirected,social club,89,36
"Humphreys, Dr. Alexander C.","Adams, Edward D.",1,undirected,social club,16,36
"Huntington, Collis P.","Adams, Edward D.",1,undirected,social club,90,36
"Huntington, Henry Edwards","Adams, Edward D.",1,undirected,social club,91,36
"Hyde, Clarence M.","Adams, Edward D.",1,undirected,social club,92,36
"Hyde, Henry Baldwin","Adams, Edward D.",1,undirected,social club,93,36
"Inglis, James Smith","Adams, Edward D.",1,undirected,social club,94,36
"Ives, Brayton C.","Adams, Edward D.",1,undirected,social club,95,36
"Jackson, Edwin E.","Adams, Edward D.",1,undirected,social club,96,36
"Jennings, Frederick Beach","Adams, Edward D.",1,undirected,social club,97,36
"King, David H., Jr.","Adams, Edward D.",1,undirected,social club,98,36
"Kirby, Thomas E.","Adams, Edward D.",1,undirected,social club,99,36
"Lambert, Catholina","Adams, Edward D.",1,undirected,social club,17,36
"Lawrence, Cyrus I.","Adams, Edward D.",1,undirected,social club,100,36
"Layton, Frederick","Adams, Edward D.",1,undirected,social club,101,36
"Leighton, George E.","Adams, Edward D.",1,undirected,social club,102,36
"Mather, Samuel","Adams, Edward D.",1,undirected,social club,103,36
"McGarrah, G. W.","Adams, Edward D.",1,undirected,social club,104,36
"Mellon, Andrew W.","Adams, Edward D.",1,undirected,social club,105,36
"Milbank, Jeremiah","Adams, Edward D.",1,undirected,social club,106,36
"Milliken, Seth Mellen","Adams, Edward D.",1,undirected,social club,107,36
"Mills, Darius Ogden","Adams, Edward D.",1,undirected,social club,108,36
"Moore, William Henry","Adams, Edward D.",1,undirected,social club,109,36
"Morgan, J. Pierpont","Adams, Edward D.",1,undirected,social club,110,36
"Oliver, George Tener","Adams, Edward D.",1,undirected,social club,111,36
"Oliver, Henry W.","Adams, Edward D.",1,undirected,social club,112,36
"Peavey, Frank Hutchinson","Adams, Edward D.",1,undirected,social club,113,36
"Penfold, Edmund","Adams, Edward D.",1,undirected,social club,114,36
"Peters, Samuel T.","Adams, Edward D.",1,undirected,social club,115,36
"Raynor, James A.","Adams, Edward D.",1,undirected,social club,116,36
"Riker, John Lawrence","Adams, Edward D.",1,undirected,social club,117,36
"Roberts, Marshall O.","Adams, Edward D.",1,undirected,social club,118,36
"Rockefeller, William Avery Jr.","Adams, Edward D.",1,undirected,social club,119,36
"Roebling, Ferdinand W.","Adams, Edward D.",1,undirected,social club,120,36
"Sabin, Charles H.","Adams, Edward D.",1,undirected,social club,121,36
"Salter, Thomas P.","Adams, Edward D.",1,undirected,social club,122,36
"Schwab, Charles M.","Adams, Edward D.",1,undirected,social club,123,36
"Shepherd, James G.","Adams, Edward D.",1,undirected,social club,29,36
"Sloane, William Douglas","Adams, Edward D.",1,undirected,social club,124,36
"Smith, Charles Stewart","Adams, Edward D.",1,undirected,social club,125,36
"Smith, Theodore E.","Adams, Edward D.",1,undirected,social club,126,36
"Stanford, Leland","Adams, Edward D.",1,undirected,social club,127,36
"Stewart, Lispenard","Adams, Edward D.",1,undirected,social club,128,36
"Stillman, James","Adams, Edward D.",1,undirected,social club,129,36
"Tenney, Charles Henry","Adams, Edward D.",1,undirected,social club,32,36
"Terry, John T.","Adams, Edward D.",1,undirected,social club,130,36
"Thomas, Seth Edward","Adams, Edward D.",1,undirected,social club,131,36
"Thorne, Samuel P.","Adams, Edward D.",1,undirected,social club,132,36
"Tousey, Sinclair","Adams, Edward D.",1,undirected,social club,133,36
"Tuckerman, Lucius","Adams, Edward D.",1,undirected,social club,134,36
"Valentine, Lawson","Adams, Edward D.",1,undirected,social club,135,36
"Valentine, P.A.","Adams, Edward D.",1,undirected,social club,33,36
"Vanderbilt, Cornelius II","Adams, Edward D.",1,undirected,social club,136,36
"Ward, Leslie Dodd","Adams, Edward D.",1,undirected,social club,137,36
"Warren, John Hobart","Adams, Edward D.",1,undirected,social club,138,36
"Willets, Howard","Adams, Edward D.",1,undirected,social club,139,36
"Woolworth, Frank Winfield","Adams, Edward D.",1,undirected,social club,35,36
"Adams, Edward D.","Aitken, John W.",1,undirected,social club,36,37
"Alger, Russel Alexander","Aitken, John W.",1,undirected,social club,38,37
"Allis, Charles","Aitken, John W.",1,undirected,social club,39,37
"Ames, Frederick Lothrop","Aitken, John W.",1,undirected,social club,40,37
"Ames, Oliver","Aitken, John W.",1,undirected,social club,41,37
"Andrews, William Loring","Aitken, John W.",1,undirected,social club,42,37
"Astor, John Jacob (III)","Aitken, John W.",1,undirected,social club,43,37
"Avery, Samuel Putnam","Aitken, John W.",1,undirected,social club,44,37
"Baker, George F.","Aitken, John W.",1,undirected,social club,45,37
"Bakewell, Allen Campbell","Aitken, John W.",1,undirected,social club,46,37
"Bangs, F.N.","Aitken, John W.",1,undirected,social club,47,37
"Bishop, Heber R.","Aitken, John W.",1,undirected,social club,48,37
"Borden, Matthew Challoner Durfee","Aitken, John W.",1,undirected,social club,49,37
"Bostwick, Jabez A.","Aitken, John W.",1,undirected,social club,50,37
"Brookfield, William","Aitken, John W.",1,undirected,social club,2,37
"Burrage, Albert C.","Aitken, John W.",1,undirected,social club,3,37
"Butler, Theron R.","Aitken, John W.",1,undirected,social club,51,37
"Carstairs, Charles Stewart","Aitken, John W.",1,undirected,social club,52,37
"Carstairs, John Haseltine","Aitken, John W.",1,undirected,social club,53,37
"Clark, William (Newark)","Aitken, John W.",1,undirected,social club,54,37
"Clarke, Thomas B.","Aitken, John W.",1,undirected,social club,55,37
"Closson, James T.","Aitken, John W.",1,undirected,social club,56,37
"Clyde, William P.","Aitken, John W.",1,undirected,social club,57,37
"Cochran, Thomas","Aitken, John W.",1,undirected,social club,58,37
"Coffin, Charles Albert","Aitken, John W.",1,undirected,social club,59,37
"Connor, Washington Everett","Aitken, John W.",1,undirected,social club,6,37
"Cook, Henry H.","Aitken, John W.",1,undirected,social club,60,37
"Crocker, Charles","Aitken, John W.",1,undirected,social club,61,37
"Curtis, George N.","Aitken, John W.",1,undirected,social club,62,37
"Curtis, William John","Aitken, John W.",1,undirected,social club,63,37
"Davenport, Ira","Aitken, John W.",1,undirected,social club,64,37
"Davis, Theodore M.","Aitken, John W.",1,undirected,social club,65,37
"Dick, Harris Brisbane","Aitken, John W.",1,undirected,social club,66,37
"Dun, Robert Graham","Aitken, John W.",1,undirected,social club,67,37
"Ellsworth, James W.","Aitken, John W.",1,undirected,social club,68,37
"Fahnestock, Harris Charles","Aitken, John W.",1,undirected,social club,69,37
"Field, Marshall","Aitken, John W.",1,undirected,social club,70,37
"Fiske, Josiah M.","Aitken, John W.",1,undirected,social club,71,37
"Flagler, Henry Morrison","Aitken, John W.",1,undirected,social club,72,37
"Fletcher, Isaac D.","Aitken, John W.",1,undirected,social club,8,37
"Foos, Lamar","Aitken, John W.",1,undirected,social club,73,37
"Frick, Henry Clay (NY)","Aitken, John W.",1,undirected,social club,74,37
"Fuller, William H.","Aitken, John W.",1,undirected,social club,75,37
"Gould, Frank Jay","Aitken, John W.",1,undirected,social club,76,37
"Graham, Malcolm","Aitken, John W.",1,undirected,social club,77,37
"Gunsaulus, Dr. Frank W.","Aitken, John W.",1,undirected,social club,140,37
"Harbeck, Charles T.","Aitken, John W.",1,undirected,social club,78,37
"Harding, J. Horace","Aitken, John W.",1,undirected,social club,79,37
"Harper, Fletcher, Jr.","Aitken, John W.",1,undirected,social club,80,37
"Harper, Joseph Abner","Aitken, John W.",1,undirected,social club,81,37
"Hartley, Marcellus","Aitken, John W.",1,undirected,social club,82,37
"Hill, James N.","Aitken, John W.",1,undirected,social club,83,37
"Hine, Francis L.","Aitken, John W.",1,undirected,social club,84,37
"Hoagland, Joseph Christoffel","Aitken, John W.",1,undirected,social club,85,37
"Holmes, John Grier","Aitken, John W.",1,undirected,social club,86,37
"Horton, Henry Lawrence","Aitken, John W.",1,undirected,social club,87,37
"Hotchkiss, Horace L.","Aitken, John W.",1,undirected,social club,88,37
"Hoyt, Charles Albert","Aitken, John W.",1,undirected,social club,89,37
"Humphreys, Dr. Alexander C.","Aitken, John W.",1,undirected,social club,16,37
"Huntington, Collis P.","Aitken, John W.",1,undirected,social club,90,37
"Huntington, Henry Edwards","Aitken, John W.",1,undirected,social club,91,37
"Hyde, Clarence M.","Aitken, John W.",1,undirected,social club,92,37
"Hyde, Henry Baldwin","Aitken, John W.",1,undirected,social club,93,37
"Inglis, James Smith","Aitken, John W.",1,undirected,social club,94,37
"Ives, Brayton C.","Aitken, John W.",1,undirected,social club,95,37
"Jackson, Edwin E.","Aitken, John W.",1,undirected,social club,96,37
"Jennings, Frederick Beach","Aitken, John W.",1,undirected,social club,97,37
"King, David H., Jr.","Aitken, John W.",1,undirected,social club,98,37
"Kirby, Thomas E.","Aitken, John W.",1,undirected,social club,99,37
"Lambert, Catholina","Aitken, John W.",1,undirected,social club,17,37
"Lawrence, Cyrus I.","Aitken, John W.",1,undirected,social club,100,37
"Layton, Frederick","Aitken, John W.",1,undirected,social club,101,37
"Leighton, George E.","Aitken, John W.",1,undirected,social club,102,37
"Mather, Samuel","Aitken, John W.",1,undirected,social club,103,37
"McGarrah, G. W.","Aitken, John W.",1,undirected,social club,104,37
"Mellon, Andrew W.","Aitken, John W.",1,undirected,social club,105,37
"Milbank, Jeremiah","Aitken, John W.",1,undirected,social club,106,37
"Milliken, Seth Mellen","Aitken, John W.",1,undirected,social club,107,37
"Mills, Darius Ogden","Aitken, John W.",1,undirected,social club,108,37
"Moore, William Henry","Aitken, John W.",1,undirected,social club,109,37
"Morgan, J. Pierpont","Aitken, John W.",1,undirected,social club,110,37
"Oliver, George Tener","Aitken, John W.",1,undirected,social club,111,37
"Oliver, Henry W.","Aitken, John W.",1,undirected,social club,112,37
"Peavey, Frank Hutchinson","Aitken, John W.",1,undirected,social club,113,37
"Penfold, Edmund","Aitken, John W.",1,undirected,social club,114,37
"Peters, Samuel T.","Aitken, John W.",1,undirected,social club,115,37
"Raynor, James A.","Aitken, John W.",1,undirected,social club,116,37
"Riker, John Lawrence","Aitken, John W.",1,undirected,social club,117,37
"Roberts, Marshall O.","Aitken, John W.",1,undirected,social club,118,37
"Rockefeller, William Avery Jr.","Aitken, John W.",1,undirected,social club,119,37
"Roebling, Ferdinand W.","Aitken, John W.",1,undirected,social club,120,37
"Sabin, Charles H.","Aitken, John W.",1,undirected,social club,121,37
"Salter, Thomas P.","Aitken, John W.",1,undirected,social club,122,37
"Schwab, Charles M.","Aitken, John W.",1,undirected,social club,123,37
"Shepherd, James G.","Aitken, John W.",1,undirected,social club,29,37
"Sloane, William Douglas","Aitken, John W.",1,undirected,social club,124,37
"Smith, Charles Stewart","Aitken, John W.",1,undirected,social club,125,37
"Smith, Theodore E.","Aitken, John W.",1,undirected,social club,126,37
"Stanford, Leland","Aitken, John W.",1,undirected,social club,127,37
"Stewart, Lispenard","Aitken, John W.",1,undirected,social club,128,37
"Stillman, James","Aitken, John W.",1,undirected,social club,129,37
"Tenney, Charles Henry","Aitken, John W.",1,undirected,social club,32,37
"Terry, John T.","Aitken, John W.",1,undirected,social club,130,37
"Thomas, Seth Edward","Aitken, John W.",1,undirected,social club,131,37
"Thorne, Samuel P.","Aitken, John W.",1,undirected,social club,132,37
"Tousey, Sinclair","Aitken, John W.",1,undirected,social club,133,37
"Tuckerman, Lucius","Aitken, John W.",1,undirected,social club,134,37
"Valentine, Lawson","Aitken, John W.",1,undirected,social club,135,37
"Valentine, P.A.","Aitken, John W.",1,undirected,social club,33,37
"Vanderbilt, Cornelius II","Aitken, John W.",1,undirected,social club,136,37
"Ward, Leslie Dodd","Aitken, John W.",1,undirected,social club,137,37
"Warren, John Hobart","Aitken, John W.",1,undirected,social club,138,37
"Willets, Howard","Aitken, John W.",1,undirected,social club,139,37
"Woolworth, Frank Winfield","Aitken, John W.",1,undirected,social club,35,37
"Adams, Edward D.","Alger, Russel Alexander",1,undirected,social club,36,38
"Aitken, John W.","Alger, Russel Alexander",1,undirected,social club,37,38
"Allis, Charles","Alger, Russel Alexander",1,undirected,social club,39,38
"Ames, Frederick Lothrop","Alger, Russel Alexander",1,undirected,social club,40,38
"Ames, Oliver","Alger, Russel Alexander",1,undirected,social club,41,38
"Andrews, William Loring","Alger, Russel Alexander",1,undirected,social club,42,38
"Astor, John Jacob (III)","Alger, Russel Alexander",1,undirected,social club,43,38
"Avery, Samuel Putnam","Alger, Russel Alexander",1,undirected,social club,44,38
"Baker, George F.","Alger, Russel Alexander",1,undirected,social club,45,38
"Bakewell, Allen Campbell","Alger, Russel Alexander",1,undirected,social club,46,38
"Bangs, F.N.","Alger, Russel Alexander",1,undirected,social club,47,38
"Bishop, Heber R.","Alger, Russel Alexander",1,undirected,social club,48,38
"Borden, Matthew Challoner Durfee","Alger, Russel Alexander",1,undirected,social club,49,38
"Bostwick, Jabez A.","Alger, Russel Alexander",1,undirected,social club,50,38
"Brookfield, William","Alger, Russel Alexander",1,undirected,social club,2,38
"Burrage, Albert C.","Alger, Russel Alexander",1,undirected,social club,3,38
"Butler, Theron R.","Alger, Russel Alexander",1,undirected,social club,51,38
"Carstairs, Charles Stewart","Alger, Russel Alexander",1,undirected,social club,52,38
"Carstairs, John Haseltine","Alger, Russel Alexander",1,undirected,social club,53,38
"Clark, William (Newark)","Alger, Russel Alexander",1,undirected,social club,54,38
"Clarke, Thomas B.","Alger, Russel Alexander",1,undirected,social club,55,38
"Closson, James T.","Alger, Russel Alexander",1,undirected,social club,56,38
"Clyde, William P.","Alger, Russel Alexander",1,undirected,social club,57,38
"Cochran, Thomas","Alger, Russel Alexander",1,undirected,social club,58,38
"Coffin, Charles Albert","Alger, Russel Alexander",1,undirected,social club,59,38
"Connor, Washington Everett","Alger, Russel Alexander",1,undirected,social club,6,38
"Cook, Henry H.","Alger, Russel Alexander",1,undirected,social club,60,38
"Crocker, Charles","Alger, Russel Alexander",1,undirected,social club,61,38
"Curtis, George N.","Alger, Russel Alexander",1,undirected,social club,62,38
"Curtis, William John","Alger, Russel Alexander",1,undirected,social club,63,38
"Davenport, Ira","Alger, Russel Alexander",1,undirected,social club,64,38
"Davis, Theodore M.","Alger, Russel Alexander",1,undirected,social club,65,38
"Dick, Harris Brisbane","Alger, Russel Alexander",1,undirected,social club,66,38
"Dun, Robert Graham","Alger, Russel Alexander",1,undirected,social club,67,38
"Ellsworth, James W.","Alger, Russel Alexander",1,undirected,social club,68,38
"Fahnestock, Harris Charles","Alger, Russel Alexander",1,undirected,social club,69,38
"Field, Marshall","Alger, Russel Alexander",1,undirected,social club,70,38
"Fiske, Josiah M.","Alger, Russel Alexander",1,undirected,social club,71,38
"Flagler, Henry Morrison","Alger, Russel Alexander",1,undirected,social club,72,38
"Fletcher, Isaac D.","Alger, Russel Alexander",1,undirected,social club,8,38
"Foos, Lamar","Alger, Russel Alexander",1,undirected,social club,73,38
"Frick, Henry Clay (NY)","Alger, Russel Alexander",1,undirected,social club,74,38
"Fuller, William H.","Alger, Russel Alexander",1,undirected,social club,75,38
"Gould, Frank Jay","Alger, Russel Alexander",1,undirected,social club,76,38
"Graham, Malcolm","Alger, Russel Alexander",1,undirected,social club,77,38
"Gunsaulus, Dr. Frank W.","Alger, Russel Alexander",1,undirected,social club,140,38
"Harbeck, Charles T.","Alger, Russel Alexander",1,undirected,social club,78,38
"Harding, J. Horace","Alger, Russel Alexander",1,undirected,social club,79,38
"Harper, Fletcher, Jr.","Alger, Russel Alexander",1,undirected,social club,80,38
"Harper, Joseph Abner","Alger, Russel Alexander",1,undirected,social club,81,38
"Hartley, Marcellus","Alger, Russel Alexander",1,undirected,social club,82,38
"Hill, James N.","Alger, Russel Alexander",1,undirected,social club,83,38
"Hine, Francis L.","Alger, Russel Alexander",1,undirected,social club,84,38
"Hoagland, Joseph Christoffel","Alger, Russel Alexander",1,undirected,social club,85,38
"Holmes, John Grier","Alger, Russel Alexander",1,undirected,social club,86,38
"Horton, Henry Lawrence","Alger, Russel Alexander",1,undirected,social club,87,38
"Hotchkiss, Horace L.","Alger, Russel Alexander",1,undirected,social club,88,38
"Hoyt, Charles Albert","Alger, Russel Alexander",1,undirected,social club,89,38
"Humphreys, Dr. Alexander C.","Alger, Russel Alexander",1,undirected,social club,16,38
"Huntington, Collis P.","Alger, Russel Alexander",1,undirected,social club,90,38
"Huntington, Henry Edwards","Alger, Russel Alexander",1,undirected,social club,91,38
"Hyde, Clarence M.","Alger, Russel Alexander",1,undirected,social club,92,38
"Hyde, Henry Baldwin","Alger, Russel Alexander",1,undirected,social club,93,38
"Inglis, James Smith","Alger, Russel Alexander",1,undirected,social club,94,38
"Ives, Brayton C.","Alger, Russel Alexander",1,undirected,social club,95,38
"Jackson, Edwin E.","Alger, Russel Alexander",1,undirected,social club,96,38
"Jennings, Frederick Beach","Alger, Russel Alexander",1,undirected,social club,97,38
"King, David H., Jr.","Alger, Russel Alexander",1,undirected,social club,98,38
"Kirby, Thomas E.","Alger, Russel Alexander",1,undirected,social club,99,38
"Lambert, Catholina","Alger, Russel Alexander",1,undirected,social club,17,38
"Lawrence, Cyrus I.","Alger, Russel Alexander",1,undirected,social club,100,38
"Layton, Frederick","Alger, Russel Alexander",1,undirected,social club,101,38
"Leighton, George E.","Alger, Russel Alexander",1,undirected,social club,102,38
"Mather, Samuel","Alger, Russel Alexander",1,undirected,social club,103,38
"McGarrah, G. W.","Alger, Russel Alexander",1,undirected,social club,104,38
"Mellon, Andrew W.","Alger, Russel Alexander",1,undirected,social club,105,38
"Milbank, Jeremiah","Alger, Russel Alexander",1,undirected,social club,106,38
"Milliken, Seth Mellen","Alger, Russel Alexander",1,undirected,social club,107,38
"Mills, Darius Ogden","Alger, Russel Alexander",1,undirected,social club,108,38
"Moore, William Henry","Alger, Russel Alexander",1,undirected,social club,109,38
"Morgan, J. Pierpont","Alger, Russel Alexander",1,undirected,social club,110,38
"Oliver, George Tener","Alger, Russel Alexander",1,undirected,social club,111,38
"Oliver, Henry W.","Alger, Russel Alexander",1,undirected,social club,112,38
"Peavey, Frank Hutchinson","Alger, Russel Alexander",1,undirected,social club,113,38
"Penfold, Edmund","Alger, Russel Alexander",1,undirected,social club,114,38
"Peters, Samuel T.","Alger, Russel Alexander",1,undirected,social club,115,38
"Raynor, James A.","Alger, Russel Alexander",1,undirected,social club,116,38
"Riker, John Lawrence","Alger, Russel Alexander",1,undirected,social club,117,38
"Roberts, Marshall O.","Alger, Russel Alexander",1,undirected,social club,118,38
"Rockefeller, William Avery Jr.","Alger, Russel Alexander",1,undirected,social club,119,38
"Roebling, Ferdinand W.","Alger, Russel Alexander",1,undirected,social club,120,38
"Sabin, Charles H.","Alger, Russel Alexander",1,undirected,social club,121,38
"Salter, Thomas P.","Alger, Russel Alexander",1,undirected,social club,122,38
"Schwab, Charles M.","Alger, Russel Alexander",1,undirected,social club,123,38
"Shepherd, James G.","Alger, Russel Alexander",1,undirected,social club,29,38
"Sloane, William Douglas","Alger, Russel Alexander",1,undirected,social club,124,38
"Smith, Charles Stewart","Alger, Russel Alexander",1,undirected,social club,125,38
"Smith, Theodore E.","Alger, Russel Alexander",1,undirected,social club,126,38
"Stanford, Leland","Alger, Russel Alexander",1,undirected,social club,127,38
"Stewart, Lispenard","Alger, Russel Alexander",1,undirected,social club,128,38
"Stillman, James","Alger, Russel Alexander",1,undirected,social club,129,38
"Tenney, Charles Henry","Alger, Russel Alexander",1,undirected,social club,32,38
"Terry, John T.","Alger, Russel Alexander",1,undirected,social club,130,38
"Thomas, Seth Edward","Alger, Russel Alexander",1,undirected,social club,131,38
"Thorne, Samuel P.","Alger, Russel Alexander",1,undirected,social club,132,38
"Tousey, Sinclair","Alger, Russel Alexander",1,undirected,social club,133,38
"Tuckerman, Lucius","Alger, Russel Alexander",1,undirected,social club,134,38
"Valentine, Lawson","Alger, Russel Alexander",1,undirected,social club,135,38
"Valentine, P.A.","Alger, Russel Alexander",1,undirected,social club,33,38
"Vanderbilt, Cornelius II","Alger, Russel Alexander",1,undirected,social club,136,38
"Ward, Leslie Dodd","Alger, Russel Alexander",1,undirected,social club,137,38
"Warren, John Hobart","Alger, Russel Alexander",1,undirected,social club,138,38
"Willets, Howard","Alger, Russel Alexander",1,undirected,social club,139,38
"Woolworth, Frank Winfield","Alger, Russel Alexander",1,undirected,social club,35,38
"Adams, Edward D.","Allis, Charles",1,undirected,social club,36,39
"Aitken, John W.","Allis, Charles",1,undirected,social club,37,39
"Alger, Russel Alexander","Allis, Charles",1,undirected,social club,38,39
"Ames, Frederick Lothrop","Allis, Charles",1,undirected,social club,40,39
"Ames, Oliver","Allis, Charles",1,undirected,social club,41,39
"Andrews, William Loring","Allis, Charles",1,undirected,social club,42,39
"Astor, John Jacob (III)","Allis, Charles",1,undirected,social club,43,39
"Avery, Samuel Putnam","Allis, Charles",1,undirected,social club,44,39
"Baker, George F.","Allis, Charles",1,undirected,social club,45,39
"Bakewell, Allen Campbell","Allis, Charles",1,undirected,social club,46,39
"Bangs, F.N.","Allis, Charles",1,undirected,social club,47,39
"Bishop, Heber R.","Allis, Charles",1,undirected,social club,48,39
"Borden, Matthew Challoner Durfee","Allis, Charles",1,undirected,social club,49,39
"Bostwick, Jabez A.","Allis, Charles",1,undirected,social club,50,39
"Brookfield, William","Allis, Charles",1,undirected,social club,2,39
"Burrage, Albert C.","Allis, Charles",1,undirected,social club,3,39
"Butler, Theron R.","Allis, Charles",1,undirected,social club,51,39
"Carstairs, Charles Stewart","Allis, Charles",1,undirected,social club,52,39
"Carstairs, John Haseltine","Allis, Charles",1,undirected,social club,53,39
"Clark, William (Newark)","Allis, Charles",1,undirected,social club,54,39
"Clarke, Thomas B.","Allis, Charles",1,undirected,social club,55,39
"Closson, James T.","Allis, Charles",1,undirected,social club,56,39
"Clyde, William P.","Allis, Charles",1,undirected,social club,57,39
"Cochran, Thomas","Allis, Charles",1,undirected,social club,58,39
"Coffin, Charles Albert","Allis, Charles",1,undirected,social club,59,39
"Connor, Washington Everett","Allis, Charles",1,undirected,social club,6,39
"Cook, Henry H.","Allis, Charles",1,undirected,social club,60,39
"Crocker, Charles","Allis, Charles",1,undirected,social club,61,39
"Curtis, George N.","Allis, Charles",1,undirected,social club,62,39
"Curtis, William John","Allis, Charles",1,undirected,social club,63,39
"Davenport, Ira","Allis, Charles",1,undirected,social club,64,39
"Davis, Theodore M.","Allis, Charles",1,undirected,social club,65,39
"Dick, Harris Brisbane","Allis, Charles",1,undirected,social club,66,39
"Dun, Robert Graham","Allis, Charles",1,undirected,social club,67,39
"Ellsworth, James W.","Allis, Charles",1,undirected,social club,68,39
"Fahnestock, Harris Charles","Allis, Charles",1,undirected,social club,69,39
"Field, Marshall","Allis, Charles",1,undirected,social club,70,39
"Fiske, Josiah M.","Allis, Charles",1,undirected,social club,71,39
"Flagler, Henry Morrison","Allis, Charles",1,undirected,social club,72,39
"Fletcher, Isaac D.","Allis, Charles",1,undirected,social club,8,39
"Foos, Lamar","Allis, Charles",1,undirected,social club,73,39
"Frick, Henry Clay (NY)","Allis, Charles",1,undirected,social club,74,39
"Fuller, William H.","Allis, Charles",1,undirected,social club,75,39
"Gould, Frank Jay","Allis, Charles",1,undirected,social club,76,39
"Graham, Malcolm","Allis, Charles",1,undirected,social club,77,39
"Gunsaulus, Dr. Frank W.","Allis, Charles",1,undirected,social club,140,39
"Harbeck, Charles T.","Allis, Charles",1,undirected,social club,78,39
"Harding, J. Horace","Allis, Charles",1,undirected,social club,79,39
"Harper, Fletcher, Jr.","Allis, Charles",1,undirected,social club,80,39
"Harper, Joseph Abner","Allis, Charles",1,undirected,social club,81,39
"Hartley, Marcellus","Allis, Charles",1,undirected,social club,82,39
"Hill, James N.","Allis, Charles",1,undirected,social club,83,39
